DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	REGION	CHR_ID	CHR_POS	REPORTED GENE(S)	MAPPED_GENE	UPSTREAM_GENE_ID	DOWNSTREAM_GENE_ID	SNP_GENE_IDS	UPSTREAM_GENE_DISTANCE	DOWNSTREAM_GENE_DISTANCE	STRONGEST SNP-RISK ALLELE	SNPS	MERGED	SNP_ID_CURRENT	CONTEXT	INTERGENIC	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG	P-VALUE (TEXT)	OR or BETA	95% CI (TEXT)	PLATFORM [SNPS PASSING QC]	CNV
2009-03-01	19198610	Gudbjartsson DF	2009-02-08	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/19198610	Sequence variants affecting eosinophil numbers associate with asthma and myocardial infarction.	Eosinophil counts	9,392 European ancestry individuals	12,118 European ancestry individuals, 5,212 East Asian ancestry individuals	6p21.32	6	32108722	MHC	TNXB			7148			rs2269426-T	rs2269426	0	2269426	intron_variant	0	0.76	3E-06	5.52287874528034	(EA)	4.6	[2.7-6.6] % standard unit increase	Illumina [312179]	N
2009-05-20	19426955	Himes BE	2009-05-07	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/19426955	Genome-wide association analysis identifies PDE4D as an asthma-susceptibility gene.	Asthma	359 European ancestry cases, 846 European ancestry controls	2,981 European ancestry cases, 12,358 European ancestry controls, 769 European ancestry and hispanic cases, 1,007 European ancestry and hispanic controls, 592 Hispanic cases with their 1,184 Hispanic parental controls, 2,258 African American cases, 3,006 African American controls	5q12.1	5	60073967	PDE4D	PDE4D			5144			rs1588265-C	rs1588265	0	1588265	intron_variant	0	0.29	3E-08	7.52287874528034		1.18	[1.08-1.30]	Illumina [518230]	N
2009-09-09	19714205	Hancock DB	2009-08-28	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/19714205	Genome-wide association study implicates chromosome 9q21.31 as a susceptibility locus for asthma in mexican children.	Asthma (childhood onset)	492 Mexican ancestry trios	177 Mexican ancestry trios	9q21.31	9	79424447	TLE4, CHCHD9	CHCHD2P9 - LOC102723932	645345	102723932		32412	93426	rs2378383-?	rs2378383	0	2378383	intergenic_variant	1	0.78	7E-07	6.15490195998574		1.64	[1.32-2.04]	Illumina [520767]	N
2010-01-13	20032318	Sleiman PM	2009-12-23	N Engl J Med	www.ncbi.nlm.nih.gov/pubmed/20032318	Variants of DENND1B associated with asthma in children.	Asthma	793 European ancestry cases, 1,988 European ancestry controls	917 European ancestry cases, 1,546 European ancestry controls, 1,667 African American cases, 2,045 African American controls	1q31.3	1	197356778	CRB1, DENND1B	CRB1			23418			rs2786098-?	rs2786098	0	2786098	intron_variant	0	NR	2E-13	12.698970004336			[NR]	Illumina [~ 550000]	N
2010-01-13	20032318	Sleiman PM	2009-12-23	N Engl J Med	www.ncbi.nlm.nih.gov/pubmed/20032318	Variants of DENND1B associated with asthma in children.	Asthma	793 European ancestry cases, 1,988 European ancestry controls	917 European ancestry cases, 1,546 European ancestry controls, 1,667 African American cases, 2,045 African American controls	1q31.3	1	197356778	DENND1B, CRB1	CRB1			23418			rs2786098-?	rs2786098	0	2786098	intron_variant	0	0.848	9E-11	10.0457574905607	(EA)	1.43		Illumina [~ 550000]	N
2010-03-05	20159242	Li X	2010-02-01	J Allergy Clin Immunol	www.ncbi.nlm.nih.gov/pubmed/20159242	Genome-wide association study of asthma identifies RAD50-IL13 and HLA-DR/DQ regions.	Asthma	607 European ancestry cases, 3,294 European ancestry controls	NA	5q31.1	5	132565533	RAD50	RAD50			10111			rs2244012-C	rs2244012	0	2244012	intron_variant	0	0.21	3E-07	6.52287874528034		1.64	[1.36-1.97]	Illumina [292443]	N
2010-03-05	20159242	Li X	2010-02-01	J Allergy Clin Immunol	www.ncbi.nlm.nih.gov/pubmed/20159242	Genome-wide association study of asthma identifies RAD50-IL13 and HLA-DR/DQ regions.	Asthma	607 European ancestry cases, 3,294 European ancestry controls	NA	15q21.2	15	51677471	SCG3	LOC105370816 - SCG3	105370816	29106		21765	3882	rs17525472-?	rs17525472	0	17525472	upstream_gene_variant	1	NR	2E-06	5.69897000433602				Illumina [292443]	N
2010-03-05	20159242	Li X	2010-02-01	J Allergy Clin Immunol	www.ncbi.nlm.nih.gov/pubmed/20159242	Genome-wide association study of asthma identifies RAD50-IL13 and HLA-DR/DQ regions.	Asthma	607 European ancestry cases, 3,294 European ancestry controls	NA	20p13	20	3846662	KIAA1271	AP5S1 - MAVS	55317	57506		21355	137	rs4815617-?	rs4815617	0	4815617	upstream_gene_variant	1	NR	8E-06	5.09691001300806				Illumina [292443]	N
2010-10-14	20860503	Moffatt MF	2010-09-23	N Engl J Med	www.ncbi.nlm.nih.gov/pubmed/20860503	A large-scale, consortium-based genomewide association study of asthma.	Asthma	10,365 cases, 16,110 controls	NA	2q12.1	2	102369762	IL18R1	IL18R1			8809			rs3771166-G	rs3771166	0	3771166	intron_variant	0	0.62	3E-09	8.52287874528034		1.15	[1.10-1.20]	Illumina [582892]	N
2010-10-14	20860503	Moffatt MF	2010-09-23	N Engl J Med	www.ncbi.nlm.nih.gov/pubmed/20860503	A large-scale, consortium-based genomewide association study of asthma.	Asthma	10,365 cases, 16,110 controls	NA	15q22.33	15	67154447	SMAD3	SMAD3			4088			rs744910-G	rs744910	0	744910	intron_variant	0	0.49	4E-09	8.39794000867204		1.12	[1.09-1.16]	Illumina [582892]	N
2010-10-14	20860503	Moffatt MF	2010-09-23	N Engl J Med	www.ncbi.nlm.nih.gov/pubmed/20860503	A large-scale, consortium-based genomewide association study of asthma.	Asthma	10,365 cases, 16,110 controls	NA	17q21.1	17	39905943	GSDMB	GSDMB			55876			rs2305480-G	rs2305480	0	2305480	missense_variant	0	0.55	1E-07	7		1.18	[1.11-1.23]	Illumina [582892]	N
2010-10-14	20860503	Moffatt MF	2010-09-23	N Engl J Med	www.ncbi.nlm.nih.gov/pubmed/20860503	A large-scale, consortium-based genomewide association study of asthma.	Asthma	10,365 cases, 16,110 controls	NA	17q21.1	17	39965740	GSDMA	GSDMA			284110			rs3894194-A	rs3894194	0	3894194	missense_variant	0	0.45	5E-09	8.30102999566398		1.17	[1.11-1.23]	Illumina [582892]	N
2010-10-14	20860503	Moffatt MF	2010-09-23	N Engl J Med	www.ncbi.nlm.nih.gov/pubmed/20860503	A large-scale, consortium-based genomewide association study of asthma.	Asthma	10,365 cases, 16,110 controls	NA	22q12.3	22	37137994	IL2RB	IL2RB			3560			rs2284033-G	rs2284033	0	2284033	intron_variant	0	0.56	1E-08	8		1.12	[1.08-1.16]	Illumina [582892]	N
2010-10-14	20860503	Moffatt MF	2010-09-23	N Engl J Med	www.ncbi.nlm.nih.gov/pubmed/20860503	A large-scale, consortium-based genomewide association study of asthma.	Asthma	10,365 cases, 16,110 controls	NA	5q31.1	5	132387596	SLC22A5	SLC22A5			6584			rs2073643-T	rs2073643	0	2073643	intron_variant	0	0.45	2E-07	6.69897000433602		1.11	[1.06-1.15]	Illumina [582892]	N
2010-10-14	20860503	Moffatt MF	2010-09-23	N Engl J Med	www.ncbi.nlm.nih.gov/pubmed/20860503	A large-scale, consortium-based genomewide association study of asthma.	Asthma	10,365 cases, 16,110 controls	NA	5q31.1	5	132660151	IL13	IL13			3596			rs1295686-T	rs1295686	0	1295686	intron_variant	0	0.2	1E-07	7		1.15	[1.09-1.20]	Illumina [582892]	N
2010-10-14	20860503	Moffatt MF	2010-09-23	N Engl J Med	www.ncbi.nlm.nih.gov/pubmed/20860503	A large-scale, consortium-based genomewide association study of asthma.	Asthma	10,365 cases, 16,110 controls	NA	15q22.2	15	60777789	RORA	RORA			6095			rs11071559-C	rs11071559	0	11071559	intron_variant	0	0.86	1E-07	7		1.18	[1.11-1.25]	Illumina [582892]	N
2010-10-14	20860503	Moffatt MF	2010-09-23	N Engl J Med	www.ncbi.nlm.nih.gov/pubmed/20860503	A large-scale, consortium-based genomewide association study of asthma.	Asthma	10,365 cases, 16,110 controls	NA	6p21.32	6	32658092	HLA-DQ	HLA-DQA1 - HLA-DQB1	3117	3119		3246	1372	rs9273349-C	rs9273349	0	9273349	upstream_gene_variant	1	0.58	7E-14	13.1549019599857		1.18	[1.13-1.24]	Illumina [582892]	N
2010-10-14	20860503	Moffatt MF	2010-09-23	N Engl J Med	www.ncbi.nlm.nih.gov/pubmed/20860503	A large-scale, consortium-based genomewide association study of asthma.	Asthma	10,365 cases, 16,110 controls	NA	9p24.1	9	6190076	IL33	RANBP6 - GTF3AP1	26953	100135064		174416	5964	rs1342326-C	rs1342326	0	1342326	intergenic_variant	1	0.16	9E-10	9.04575749056068		1.2	[1.13-1.28]	Illumina [582892]	N
2011-01-11	21150878	Ferreira MA	2010-12-08	Eur J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/21150878	Association between ORMDL3, IL1RL1 and a deletion on chromosome 17q21 with asthma risk in Australia.	Asthma	986 European ancestry cases, 1,846 European ancestry controls	391 European ancestry cases, 213 European ancestry controls	17q21.1	17	39938921	ORMDL3	LRRC3C			100505591			rs6503525-C	rs6503525	0	6503525	intron_variant	0	0.43	5E-07	6.30102999566398		1.33	[NR]	Illumina [~ 2380000] (imputed)	N
2011-08-20	21804549	Torgerson DG	2011-07-31	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21804549	Meta-analysis of genome-wide association studies of asthma in ethnically diverse North American populations.	Asthma	2,088 European ancestry cases, 1,612 African American and African Caribbean cases, 1,688 Hispanic cases	2,727 European ancestry cases, 2,147 African American and African Caribbean cases, 2,299 Hispanic cases	1q23.1	1	158962765	PYHIN1	PYHIN1			149628			rs1101999-?	rs1101999	0	1101999	intron_variant	0	NR	4E-09	8.39794000867204				Affymetrix, Illumina [> 2000000] (imputed)	N
2011-08-20	21804549	Torgerson DG	2011-07-31	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21804549	Meta-analysis of genome-wide association studies of asthma in ethnically diverse North American populations.	Asthma	2,088 European ancestry cases, 1,612 African American and African Caribbean cases, 1,688 Hispanic cases	2,727 European ancestry cases, 2,147 African American and African Caribbean cases, 2,299 Hispanic cases	2q12.1	2	102337157	IL1RL1	IL1RL1			9173			rs3771180-?	rs3771180	0	3771180	5_prime_UTR_variant	0	NR	2E-15	14.698970004336				Affymetrix, Illumina [> 2000000] (imputed)	N
2011-08-20	21804549	Torgerson DG	2011-07-31	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21804549	Meta-analysis of genome-wide association studies of asthma in ethnically diverse North American populations.	Asthma	2,088 European ancestry cases, 1,612 African American and African Caribbean cases, 1,688 Hispanic cases	2,727 European ancestry cases, 2,147 African American and African Caribbean cases, 2,299 Hispanic cases	5q22.1	5	111066174	TSLP	LOC105379121 - TSLP	105379121	85480		51554	3906	rs1837253-?	rs1837253	0	1837253	upstream_gene_variant	1	NR	1E-14	14				Affymetrix, Illumina [> 2000000] (imputed)	N
2011-08-20	21804549	Torgerson DG	2011-07-31	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21804549	Meta-analysis of genome-wide association studies of asthma in ethnically diverse North American populations.	Asthma	2,088 European ancestry cases, 1,612 African American and African Caribbean cases, 1,688 Hispanic cases	2,727 European ancestry cases, 2,147 African American and African Caribbean cases, 2,299 Hispanic cases	9p24.1	9	6193455	IL33	RANBP6 - GTF3AP1	26953	100135064		177795	2585	rs2381416-?	rs2381416	0	2381416	upstream_gene_variant	1	NR	2E-12	11.698970004336				Affymetrix, Illumina [> 2000000] (imputed)	N
2011-08-20	21804549	Torgerson DG	2011-07-31	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21804549	Meta-analysis of genome-wide association studies of asthma in ethnically diverse North American populations.	Asthma	2,088 European ancestry cases, 1,612 African American and African Caribbean cases, 1,688 Hispanic cases	2,727 European ancestry cases, 2,147 African American and African Caribbean cases, 2,299 Hispanic cases	17q21.1	17	39908152	GSDMB	GSDMB			55876			rs11078927-?	rs11078927	0	11078927	intron_variant	0	NR	2E-16	15.698970004336				Affymetrix, Illumina [> 2000000] (imputed)	N
2011-08-20	21804549	Torgerson DG	2011-07-31	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21804549	Meta-analysis of genome-wide association studies of asthma in ethnically diverse North American populations.	Asthma	2,088 European ancestry cases, 1,612 African American and African Caribbean cases, 1,688 Hispanic cases	2,727 European ancestry cases, 2,147 African American and African Caribbean cases, 2,299 Hispanic cases	1q21.3	1	152520083	CRCT1	CRCT1 - LCE3E	54544	353145		4073	45571	rs4845783-?	rs4845783	0	4845783	downstream_gene_variant	1	NR	6E-06	5.22184874961636				Affymetrix, Illumina [> 2000000] (imputed)	N
2011-08-20	21804549	Torgerson DG	2011-07-31	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21804549	Meta-analysis of genome-wide association studies of asthma in ethnically diverse North American populations.	Asthma	2,088 European ancestry cases, 1,612 African American and African Caribbean cases, 1,688 Hispanic cases	2,727 European ancestry cases, 2,147 African American and African Caribbean cases, 2,299 Hispanic cases	11q23.2	11	114360533	C11orf71	NNMT - LOC101928940	4837	101928940		48017	102	rs11214966-?	rs11214966	0	11214966	upstream_gene_variant	1	NR	6E-07	6.22184874961636				Affymetrix, Illumina [> 2000000] (imputed)	N
2011-08-27	21804548	Hirota T	2011-07-31	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21804548	Genome-wide association study identifies three new susceptibility loci for adult asthma in the Japanese population.	Asthma	1,532 Japanese ancestry cases, 3,304 Japanese ancestry controls	5,639 Japanese ancestry cases, 24,608 Japanese ancestry controls	4q31.21	4	143082006	LOC729675	LOC100287014 - LOC105377623	100287014	105377623		35931	95654	rs7686660-T	rs7686660	0	7686660	intron_variant	1	0.27	2E-12	11.698970004336		1.16	[1.11-1.21]	Illumina [458847]	N
2011-08-27	21804548	Hirota T	2011-07-31	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21804548	Genome-wide association study identifies three new susceptibility loci for adult asthma in the Japanese population.	Asthma	1,532 Japanese ancestry cases, 3,304 Japanese ancestry controls	5,639 Japanese ancestry cases, 24,608 Japanese ancestry controls	4q31.21	4	143436584	GAB1	GAB1			2549			rs3805236-G	rs3805236	0	3805236	intron_variant	0	0.25	7E-08	7.15490195998574		1.12	[1.08-1.17]	Illumina [458847]	N
2011-08-27	21804548	Hirota T	2011-07-31	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21804548	Genome-wide association study identifies three new susceptibility loci for adult asthma in the Japanese population.	Asthma	1,532 Japanese ancestry cases, 3,304 Japanese ancestry controls	5,639 Japanese ancestry cases, 24,608 Japanese ancestry controls	5q22.1	5	111066174	TSLP	LOC105379121 - TSLP	105379121	85480		51554	3906	rs1837253-C	rs1837253	0	1837253	upstream_gene_variant	1	0.35	1E-16	16		1.17	[1.13-1.22]	Illumina [458847]	N
2011-08-27	21804548	Hirota T	2011-07-31	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21804548	Genome-wide association study identifies three new susceptibility loci for adult asthma in the Japanese population.	Asthma	1,532 Japanese ancestry cases, 3,304 Japanese ancestry controls	5,639 Japanese ancestry cases, 24,608 Japanese ancestry controls	6p21.32	6	32187804	PBX2	PBX2			5089			rs204993-A	rs204993	0	204993	intron_variant	0	0.58	2E-15	14.698970004336		1.17	[1.12-1.21]	Illumina [458847]	N
2011-08-27	21804548	Hirota T	2011-07-31	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21804548	Genome-wide association study identifies three new susceptibility loci for adult asthma in the Japanese population.	Asthma	1,532 Japanese ancestry cases, 3,304 Japanese ancestry controls	5,639 Japanese ancestry cases, 24,608 Japanese ancestry controls	6p21.32	6	32216568	NOTCH4	NOTCH4			4855			rs404860-A	rs404860	0	404860	non_coding_transcript_exon_variant	0	0.5	4E-23	22.397940008672		1.21	[1.16-1.25]	Illumina [458847]	N
2011-08-27	21804548	Hirota T	2011-07-31	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21804548	Genome-wide association study identifies three new susceptibility loci for adult asthma in the Japanese population.	Asthma	1,532 Japanese ancestry cases, 3,304 Japanese ancestry controls	5,639 Japanese ancestry cases, 24,608 Japanese ancestry controls	6p21.32	6	32370918	C6orf10	LOC101929163, C6orf10			101929163, 10665			rs3129943-T	rs3129943	0	3129943	intron_variant	0	0.62	3E-15	14.5228787452803		1.17	[1.12-1.21]	Illumina [458847]	N
2011-08-27	21804548	Hirota T	2011-07-31	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21804548	Genome-wide association study identifies three new susceptibility loci for adult asthma in the Japanese population.	Asthma	1,532 Japanese ancestry cases, 3,304 Japanese ancestry controls	5,639 Japanese ancestry cases, 24,608 Japanese ancestry controls	6p21.32	6	32390736	BTNL2	HCG23, LOC101929163			414764, 101929163			rs3117098-G	rs3117098	0	3117098	non_coding_transcript_exon_variant	0	0.25	5E-12	11.301029995664		1.16	[1.11-1.21]	Illumina [458847]	N
2011-08-27	21804548	Hirota T	2011-07-31	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21804548	Genome-wide association study identifies three new susceptibility loci for adult asthma in the Japanese population.	Asthma	1,532 Japanese ancestry cases, 3,304 Japanese ancestry controls	5,639 Japanese ancestry cases, 24,608 Japanese ancestry controls	6p21.32	6	32446496	HLA-DRA	HLA-DRA - HLA-DRB9	3122	3132		1450	13324	rs3129890-T	rs3129890	0	3129890	downstream_gene_variant	1	0.61	5E-13	12.301029995664		1.15	[1.11-1.20]	Illumina [458847]	N
2011-08-27	21804548	Hirota T	2011-07-31	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21804548	Genome-wide association study identifies three new susceptibility loci for adult asthma in the Japanese population.	Asthma	1,532 Japanese ancestry cases, 3,304 Japanese ancestry controls	5,639 Japanese ancestry cases, 24,608 Japanese ancestry controls	6p21.32	6	32690302	HLA-DQB1	HLA-DQB1 - MTCO3P1	3119	404026		23613	15842	rs7775228-A	rs7775228	0	7775228	intergenic_variant	1	0.63	5E-15	14.301029995664		1.17	[1.12-1.21]	Illumina [458847]	N
2011-08-27	21804548	Hirota T	2011-07-31	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21804548	Genome-wide association study identifies three new susceptibility loci for adult asthma in the Japanese population.	Asthma	1,532 Japanese ancestry cases, 3,304 Japanese ancestry controls	5,639 Japanese ancestry cases, 24,608 Japanese ancestry controls	6p21.32	6	32720196	HLA-DQA2	LOC102725019 - HLA-DQA2	102725019	3118		1369	21190	rs9275698-T	rs9275698	0	9275698	downstream_gene_variant	1	0.79	5E-12	11.301029995664		1.18	[1.12-1.24]	Illumina [458847]	N
2011-08-27	21804548	Hirota T	2011-07-31	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21804548	Genome-wide association study identifies three new susceptibility loci for adult asthma in the Japanese population.	Asthma	1,532 Japanese ancestry cases, 3,304 Japanese ancestry controls	5,639 Japanese ancestry cases, 24,608 Japanese ancestry controls	6p21.32	6	32993584	HLA-DOA	BRD2 - HLA-DOA	6046	3111		12079	10598	rs9500927-T	rs9500927	0	9500927	intergenic_variant	1	0.26	4E-09	8.39794000867204		1.13	[1.09-1.18]	Illumina [458847]	N
2011-08-27	21804548	Hirota T	2011-07-31	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21804548	Genome-wide association study identifies three new susceptibility loci for adult asthma in the Japanese population.	Asthma	1,532 Japanese ancestry cases, 3,304 Japanese ancestry controls	5,639 Japanese ancestry cases, 24,608 Japanese ancestry controls	10p14	10	8930055	LOC338591	LOC105755953 - LOC101928272	105755953	101928272		15459	267311	rs10508372-C	rs10508372	0	10508372	intergenic_variant	1	0.433	2E-15	14.698970004336		1.16	[1.12-1.21]	Illumina [458847]	N
2011-08-27	21804548	Hirota T	2011-07-31	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21804548	Genome-wide association study identifies three new susceptibility loci for adult asthma in the Japanese population.	Asthma	1,532 Japanese ancestry cases, 3,304 Japanese ancestry controls	5,639 Japanese ancestry cases, 24,608 Japanese ancestry controls	12q13.2	12	55970537	CDK2	CDK2			1017			rs2069408-C	rs2069408	0	2069408	intron_variant	0	0.23	1E-10	10		1.15	[1.10-1.20]	Illumina [458847]	N
2011-08-27	21804548	Hirota T	2011-07-31	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21804548	Genome-wide association study identifies three new susceptibility loci for adult asthma in the Japanese population.	Asthma	1,532 Japanese ancestry cases, 3,304 Japanese ancestry controls	5,639 Japanese ancestry cases, 24,608 Japanese ancestry controls	12q13.2	12	56018703	IKZF4	IKZF4, LOC105369781			64375, 105369781			rs1701704-G	rs1701704	0	1701704	intron_variant	0	0.18	2E-13	12.698970004336		1.19	[1.14-1.25]	Illumina [458847]	N
2011-09-02	21814517	Noguchi E	2011-07-21	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/21814517	Genome-wide association study identifies HLA-DP as a susceptibility gene for pediatric asthma in Asian populations.	Asthma	938 Japanese ancestry cases, 2,376 Japanese ancestry controls	1653 East Asian ancestry cases, 1453 East Asian ancestry controls	8q24.11	8	117013406	SLC30A8	SLC30A8			169026			rs3019885-G	rs3019885	0	3019885	intron_variant	0	0.31	5E-13	12.301029995664		1.34	[1.24-1.45]	Illumina [450326]	N
